waypoint1	waypoint2	distance_m	duration_s
Big Sur, Monterey County, CA	Discovery Park, Discovery Park Boulevard, Seattle, WA	1513904	52824
Cherokee Park, Cochran Hill Road, Louisville, KY	Lake Tahoe State Park, Nevada 28, Incline Village, NV	3435272	109999
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Grand Canyon National Park, AZ	3464706	110877
Mount Whitney, Inyo County, CA	Burnside Bridge, Portland, OR	1296112	49267
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	891813	30448
2131 West Cortez Street, Chicago, IL	Discovery Park, Discovery Park Boulevard, Seattle, WA	3328682	107654
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	N Dean St & E Texas St, Marfa, TX 79843	2590160	83328
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Powell Slough Waterfowl Management Area, Orem, UT	2235835	75389
4919 Cave Run Drive, Houston, TX	Bonneville Salt Flats, Tooele County, UT	2520096	87053
Cherry Creek State Park, South Parker Road, Aurora, CO	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	1209755	37831
Cheatham Wildlife Management Area, Ashland City, TN	Apache Cafe, 3rd Street Northwest, Atlanta, GA	446165	15511
The Queen Mary, Queens Highway, Long Beach, CA	113 Mill Creek Road, South Chatham, MA	4943267	159353
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Boulder Mountain Park, Boulder, CO	1313764	45657
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Millennium Park Path, Grand Rapids, MI	1036785	34687
2131 West Cortez Street, Chicago, IL	113 Mill Creek Road, South Chatham, MA	1705512	57207
Burnside Bridge, Portland, OR	Red Rocks Park, Central Avenue, South Burlington, VT	4843885	162094
Atalaya Mountain, Santa Fe, NM	Golden Gate Park, San Francisco, CA	1854663	60991
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Mount Whitney, Inyo County, CA	2398048	76656
